Level_Code,University,City,Course,Faculty,Local_Fees,Int_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes/path,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
VOC,Canberra Institute of Technology,Canberra,Certificate III in Accounts Administration,Business & Commerce & Finance & Accounting,,6850,AUD,Years,2,Years,,,IELTS,,Equivalent ,5.5,,Year 12,https://international.cit.edu.au/courses/business_accounting/accounting,English,A,"CIT’s Accounting qualifications will provide you with the skills and knowledge you need to work in a variety of finance jobs, ranging from administrative or budget officer, to advanced roles in the banking and financial industries.","Advanced Diploma: Professional accountant, banker, tax agent, financial manager, consulting and strategic business planning, small business advisor.",Australia,,Yes,,,,
VOC,Canberra Institute of Technology,Canberra,ACT Year 12 – Senior Secondary Certificate,Science and Health Science,,7250,AUD,Years,1,Years,,,IELTS,,Equivalent ,5.5,,Year 12,https://international.cit.edu.au/courses/english_study_preparation/act_year_12,English,A,"The ACT Senior Secondary Certificate (Year 12) provides access to further study in a wide range of Diploma, Advanced Diploma or Degree level courses in Australia, giving you the knowledge and foundation skills to achieve your study goals.","University education, TAFE Diplomas and Advanced Diplomas, specific employment areas requiring Year 12 and general employment.",Australia,,Yes,,,,
VOC,Canberra Institute of Technology,Canberra,Certificate III in Individual Support (Ageing),Science and Health Science,,7250,AUD,Years,1,Years,,,IELTS,,Equivalent ,5.5,,Year 12,https://international.cit.edu.au/courses/health_community/ageing_support,English,A,"The aged care sector is growing in Australia and worldwide and there is demand for workers in a variety of roles within residential facilities, private homes and within the community.","Certificate IV: coordinator, team leader, support worker, service coordinator, day activity officer.",Australia,,Yes,,,,
VOC,Canberra Institute of Technology,Canberra,Certificate IV in Alcohol and Other Drugs,Science and Health Science,,7250,AUD,Years,2,Years,,,IELTS,,Equivalent ,5.5,,Year 12,https://international.cit.edu.au/courses/health_community/alcohol_and_other_drugs,English,A,"Working with community members who struggle with alcohol issues or substance use issues and possibly mental health issues require specialised skill and proper training. CIT’s community service courses prepare students for working with these community members by providing knowledge of themselves and society. You will learn techniques for working with people one-on-one, in groups and a community work setting.","Diploma: Manager/advanced skills community welfare worker in the health and community services field - including children's services, family support, women's and men's services, residential and non-residential",Australia,,Yes,,,,
VOC,Canberra Institute of Technology,Canberra,Certificate III in Barbering,Law,,6850,AUD,Years,2,Years,,,IELTS,,Equivalent ,5.5,,Year 12,https://international.cit.edu.au/courses/hair_beauty/barbering,English,A,Be part of the dynamic men’s grooming industry of Barbering.,Barber,Australia,,Yes,,,,
VOC,Canberra Institute of Technology,Canberra,Certificate IV in Beauty Therapy,Creative Arts & Design & Music,,6850,AUD,Years,1,Years,,,IELTS,,Equivalent ,5.5,,Year 12,https://international.cit.edu.au/courses/hair_beauty/beauty_therapy,English,A,"In this unique course, you will get hands-on practice in our commercial beauty salons!","Skilled beauty therapist in the beauty, massage and make-up services stream of the beauty industry.",Australia,,Yes,,,,
DIP,Canberra Institute of Technology,Canberra,Diploma of Beauty Therapy,Creative Arts & Design & Music,,6850,AUD,Years,1,Years,,,IELTS,,Equivalent ,5.5,,Year 12,https://international.cit.edu.au/courses/hair_beauty/beauty_therapy_diploma,English,A,"Become a confident and qualified beauty therapist and stand out to employers with CIT’s Beauty Therapy Diploma. This qualification will prepare you to become a professional in the industry and features a specialisation in spa therapies, enabling you to work in 5-star resorts, wellness day spas or beauty salons. In this hands-on course, students practice with clients in our commercial salons.","Work as a beauty and spa therapist, salon/spa owner or manager in 5-star resorts, health retreats, wellness day spas and massage clinics.",Australia,,Yes,,,,
VOC,Canberra Institute of Technology,Canberra,Certificate IV in Building and Construction (Building),"Architecture, Building & Planning",,7250,AUD,Years,3,Years,,,IELTS,,Equivalent ,5.5,,Year 12,https://international.cit.edu.au/courses/building_construction/building_construction,English,A,"Construction is a booming industry where having the right planning skills and knowledge about governmental and legal obligations, is essential. You will learn the key skills required to become a senior manager, site supervisor, site manager or construction project manager within a building and construction firm. The teachers are experts who will give you invaluable, hands on and industry relevant experience through visits to real building sites.","This qualification is designed to meet the needs of builders, including selecting contractors, overseeing the work and its quality, and liaising with the client. The builder may also be the appropriately licensed person with responsibility under the relevant building licensing authority in the State or Territory.",Australia,,Yes,,,,
DIP,Canberra Institute of Technology,Canberra,Diploma of Building and Construction (Management),Business & Commerce & Finance & Accounting,,7250,AUD,Years,1,Years,,,IELTS,,Equivalent ,5.5,,Year 12,https://international.cit.edu.au/courses/building_construction/construction_management,English,A,"Direct, plan, organise and supervise construction sites and projects with CIT’s dynamic Building and Construction (Management) diploma. This course will give you the skills and knowledge required to be a senior manager, site supervisor, site manager or construction project manager within a building and construction firm.","Project manager, construction manager, estimating manager, sales manager.",Australia,,Yes,,,,
DIP,Canberra Institute of Technology,Canberra,Diploma of Building Design,"Architecture, Building & Planning",,7250,AUD,Years,1,Years,,,IELTS,,Equivalent ,5.5,,Year 12,https://international.cit.edu.au/courses/art_design_multimedia/building_design,English,A,"Love architecture? This diploma will start you on your career as a building designer, architectural technician or CAD Specialist Technician. Our industry-expert teachers will teach you to develop the theoretical and practical skills to produce high quality work using industry software and meeting all Australian compliances. You'll develop skills and knowledge in construction materials, 3D modellling, interpreting building codes for residential and commercial building design projects, sustainable design and contract documentation.","Building designers are likely to work with architects, engineers and building companies to develop working drawings and building plans for new constructions and renovations. You will have the skills to start your own business on residential extensions, except construction type A building. This course provides pathways to further study at university that will enable you to become an architect.",Australia,,Yes,,,,
