Level_Code,University,City,Course,Faculty,Local_Fees,Int_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes/path,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
VOC,Canberra Institute of Technology,Canberra,Certificate II in Aboriginal and Torres Strait Islander Cultural Arts,Humanities and Social Science,1010,,AUD,Years,6,Months,Yes,Yes,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/education_community/aboriginal_torres_strait_islander/C2-YC03,English,A,"So you think you can’t draw! This program is designed for Aboriginal and/or Torres Strait Islander people who are interested in exploring visual arts and design. You will connect with your culture, identify and visually express your totem and Songlines. We build into this program a strong connection to Country. We work closely with National Parks, design logos for major organisations and create exhibitions and inspiring instillations. This program has been designed as an entry pathway into  CUA40615 Certificate IV in Aboriginal and Torres Strait Islander Cultural Arts.",This program provides a pathway to further study in the creative arts field.,Australia,,,,,Yes,
VOC,Canberra Institute of Technology,Canberra,Certificate IV in Aboriginal and Torres Strait Islander Cultural Arts,Humanities and Social Science,2149,,AUD,Years,1,Years,Yes,Yes,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/education_community/aboriginal_torres_strait_islander/C4-YC03,English,A,"This program is designed for Aboriginal and/or Torres Strait Islander people who have attained the skills of an experienced artist. You will develop your own professional portfolio, have opportunity to work closely with community organisations, building those steps to becoming an emerging artist. Provide art works for leading organisations in Canberra city opportunities to turn your art work into graphic design and knowledge on how to build your own professional practice.","This qualification prepares people for skilled work at a pre-professional level and for learning at higher levels, in particular through visual arts qualifications at Diploma, Advanced Diploma and Degree levels.",Australia,,,,,Yes,
VOC,Canberra Institute of Technology,Canberra,Certificate I in Access to Vocational Pathways,Foundation,473,,AUD,Years,1,Years,,Yes,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/education_community/foundation_skills/C1-CM06,English,A,"You will improve or develop your basic skills in literacy, numeracy, speaking, listening, computing, job seeking and learning for work or training purposes. The course is flexible so it gives students the skills they need to go on to further study or work. With help from a teacher, students enrol in subjects to meet their individual goals. The qualification gives you: - a prevocational pathway to employment and vocational training - reading, writing, numeracy, oral communication and learning skills at Australian Core Skills Framework (ACSF) Level 1 - entry level digital technology and employability skills.","Graduates from this qualification may continue with the Certificate I in Skills for Vocational Pathways FSK10213 or enrol into other vocational qualifications at either Certificate I or Certificate II level. Graduates from this qualification would be holistically prepared for employment at a basic level and if already employed will be supported in their application of their literacy, numeracy and computing skills.",Australia,,,,,Yes,
ADIP,Canberra Institute of Technology,Canberra,Advanced Diploma of Accounting,Business & Commerce & Finance & Accounting,1848,,AUD,Years,6,Months,Yes,,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/professional/accounting_finance/AD-BT12,English,A,"This professional course will prepare you to perform advanced accounting roles. It provides high level training with work-ready skills to give you the edge in the workforce. This qualification is highly respected by the business, banking and financial communities because it combines hands-on training with comprehensive theoretical knowledge. Graduates from this program will be ready to embark on, or continue with, successful careers in both the private and public sectors.  This qualification includes units that are recognised by the Tax Practitioners Board. Students seeking Tax Agent registration should obtain advice from the Tax Practitioners Board http://www.tpb.gov.au/","Professional accountant, banker, tax agent, financial manager, consulting and strategic business planning, small business advisor",Australia,,,,,Yes,
DIP,Canberra Institute of Technology,Canberra,Diploma of Accounting,Business & Commerce & Finance & Accounting,1312,,AUD,Years,6,Months,Yes,Yes,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/professional/accounting_finance/DP-BT12,English,A,"This qualification reflects professional accounting job roles in financial services and other industries, including tax agents, accounts payable and accounts receivable officers, payroll service providers, and employees performing a range of accounting tasks for organisations in a range of industries. Individuals in these roles apply solutions to a range of often complex problems, and analyse and evaluate information from a variety of sources. They apply initiative to plan, coordinate and evaluate their own work and provide guidance to others within defined guidelines.This qualification includes units that are recognised by the Tax Practitioners Board. Students seeking Tax Agent registration should obtain advice from the Tax Practitioners Board http://www.tpb.gov.au/","Assistant accountant, budget officers, office managers, administration managers.",Australia,,,,,Yes,
VOC,Canberra Institute of Technology,Canberra,Certificate IV in Accounting and Bookkeeping,Business & Commerce & Finance & Accounting,1430,,AUD,Years,6,Months,Yes,Yes,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/professional/accounting_finance/C4-BT12,English,A,"This qualification reflects the job roles of workers in the accounting industry, including BAS Agents and contract bookkeepers; and of those employees performing bookkeeping tasks for organisations in a range of industries. It includes preparing and lodging business and instalment activity statements, and providing advice or dealing with the Commissioner on behalf of a taxpayer in relation to activity statements. Individuals in these roles apply theoretical and specialist knowledge and skills to work autonomously, and exercise judgement in completing routine and non-routine activities.This qualification will also meet the Tax Practitioners Board (TPB) requirements for BAS registration. You will need to consult the TPB for further information on http://www.tpb.gov.au/This qualification is available flexibly and you can enrol to commence your studies at any time. Alternatively you may enrol for day or evening classroom delivery at the start of each semester.","Employment in bookkeeping and accounting roles such as completing BAS, completing other office taxes, computerised accounting systems, preparing payroll, operational reporting, producing management reports and managing a small office.",Australia,,,,,Yes,
VOC,Canberra Institute of Technology,Canberra,Statement of Attainment - Accounting Principles Skill Set,Humanities and Social Science,785,,AUD,Years,6,Months,,Yes,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/professional/accounting_finance/SA-BT14,English,A,This skill set is designed for workers in accounting and bookkeeping job roles who use knowledge of accounting principles to perform a range of analytical tasks in a variety of industries.This qualification is available flexibly and you can enrol to commence your studies at any time. Alternatively you may enrol for day or evening classroom delivery at the start of each semester.,"Employment in bookkeeping and accounting roles such as computerised accounting systems, attending to accounts payable/receivable, producing routine financial reports and customer service.",Australia,,,,,Yes,
VOC,Canberra Institute of Technology,Canberra,Certificate III in Accounts Administration,Business & Commerce & Finance & Accounting,978,,AUD,Years,6,Months,Yes,Yes,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/professional/accounting_finance/C3-BT12,English,A,"This qualification reflects the job roles of employees with functions that could include financial data entry, processing accounts, providing customer service in financial transactions, and producing routine financial reports. Individuals in these roles apply knowledge and skills to demonstrate autonomy and judgement and to take limited responsibility in known situations under general supervision.This qualification is available flexibly and you can enrol to commence your studies at any time. Alternatively you may enrol for day or evening classroom delivery at the start of each semester.","Employment in roles such as cashier, accounts payable/receivable assistant and customer service.",Australia,,,,,Yes,
VOC,Canberra Institute of Technology,Canberra,ACT Year 12 ACT Year 12 Senior Secondary Certificate,Science and Health Science,978,,AUD,Years,N/A,N/A,Yes,Yes,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/education_community/act_year_12/XA-CM02,English,A,"This program leads to an ACT Senior Secondary Certificate (Year 12) . It provides you with opportunities to gain: a formal senior secondary qualification; admission to tertiary institutions through an Australian Tertiary Admission Rank (ATAR); entry to CIT courses requiring an ACT Senior Secondary Certificate (Year 12) ; entry to specific careers such as the armed services; skills and qualifications for employment; levels of knowledge for specific technical or tertiary programs; or to develop personal skills and interests.You can now complete other CIT vocational programs as part of your ACT Senior Secondary Certificate (Year 12) . An option of an evening program is available for Mature Age students, subject to funding.","University education, TAFE Diplomas and Advanced Diplomas, specific employment areas requiring Year 12 and general employment.",Australia,,,,,Yes,
FUG,Canberra Institute of Technology,Canberra,Statement of Attainment - Address Foundation Skills in Vocational Practice Skill Set,Foundation,978,,AUD,Years,6,Months,,Yes,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/education_community/teacher_education/SA-CM07,English,A,"This Skill Set is for vocational trainers and assessors who need to integrate foundation skill into their training program. These units are designed to build the capacity of the trainer to incorporate and contextualise foundations skills to the vocational qualification they are delivering thus building the ability of the learner to the required ACSF* level of the industry.The skill set addresses planning, designing and addressing language, literacy numeracy and digital (LLND) approaches for vocational learning.* Australian Core Skills Framework (ACSF)",The skills and knowledge in this Skill Set meets the needs of the vocational trainer and assessor who is implementing and assessing foundation skills in a VET qualification.  Job opportunities may include increased capacity to work with vocational learners who face LLND challenges.,Australia,,,,,Yes,
ADIP,Canberra Institute of Technology,Canberra,Statement of Attainment - Advanced Accounting Principles Skill Set,Humanities and Social Science,753,,AUD,Years,6,Months,Yes,,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/professional/accounting_finance/SA-BT15,English,A,This skill set is designed for workers in accounting job roles who use knowledge of advanced accounting principles to perform a range of management and analytical tasks in a variety of industries.To enrol units are offered for day or evening classroom delivery at the start of each semester.,Gives you the skills and knowledge to apply for entry into FNS60217 Advanced Diploma of Accounting at CIT.Employment in roles requiring advanced accounting principles to perform a range of management and analytical tasks in a variety of industries.,Australia,,,,,Yes,
ADIP,Canberra Institute of Technology,Canberra,Statement of Attainment - Advanced Barbering,Humanities and Social Science,1327,,AUD,Years,5,Hours,Yes,,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/creative/hairdressing/SA-BD41,English,A,This program will provide you the skills and knowledge to perform as a leading barber in this fast growing industry.Learn cutting edge skills from an award winning barber or have your existing skills recognised.,Barber,Australia,,,,,Yes,
ADIP,Canberra Institute of Technology,Canberra,Statement of Attainment - training in Advanced Engineering Drafting,Humanities and Social Science,957,,AUD,Years,6,Months,Yes,,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/professional/engineering/SA-BD42,English,A,In this program you will learn skills and knowledge in computer aided design (CAD) practices for advanced engineering drawings. You will also learn the procedures and communication skills required by the engineering industry.,Engineering detail draftsperson,Australia,,,,,Yes,
VOC,Canberra Institute of Technology,Canberra,Certificate IV in Ageing Support,Science and Health Science,2912,,AUD,Years,1,Years,Yes,Yes,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/health_fitness/aged_care/C4-HS14,English,A,This course will give you the skills and knowledge to provide and coordinate home and community support. This program is designed for people currently employed in the community sector.,"Coordinator, team leader, support worker, service coordinator, day activity worker.",Australia,,,,,Yes,
VOC,Canberra Institute of Technology,Canberra,Certificate III in Air-conditioning and Refrigeration,Computer Science & Information Technology,2344,,AUD,Years,3,Years,,Yes,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/trades/refrigeration_air_conditioning/C3-TC30,English,A,"Do you want to be a qualified ""Fridgie""? If the answer is yes, and you are employed as an apprentice/trainee in the Refrigeration and Air-Conditioning industry, then this trade course is for you!As a ""Fridgie"" you'll gain the knowledge and skills to work specifically as a refrigeration and air conditioning technician in the domestic, commercial or industrial industry sector. This trade level program is for refrigeration and air conditioning apprentices and others working or intending to work with refrigeration and air conditioning equipment in domestic, commercial or industrial situations. At CIT you will be given the opportunity to learn and work with equipment associated with Refrigeration and Heating Ventilation and Air-conditioning (HVAC).There will be many opportunities to develop and practice your skills to industry standard with the most up-to-date technology and equipment in our custom built electrotechnology workshop.","Refrigeration and air conditioning technicians in domestic, commercial and industrial premises.",Australia,,,,,Yes,
VOC,Canberra Institute of Technology,Canberra,Certificate IV in Alcohol and Other Drugs,Science and Health Science,2510,,AUD,Years,6,Months,Yes,Yes,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/education_community/aboriginal_torres_strait_islander/C4-YC10,English,A,"This program is designed for Aboriginal and/or Torres Strait Islander people either wishing to enter or already working in the alcohol and other drug work field. Our programs are delivered by well qualified and experienced Aboriginal and Torres Strait Islander teachers within a community setting. We use Aboriginal learning techniques such as yarning circles to come up with ideas, learn from each other and build on existing life skills & experiences. Additional tutorial hours are on offer should you require extra support with your assessments. The program provides you with specialist skills and equips you with the skills needed to work in the Alcohol and other drug field. Many of our graduates have gained jobs in the field of both Indigenous and non-Indigenous community organisations.",Students who successfully complete this qualification seek employment in the sector in such occupations as: - Case worker - Community support worker - Outreach Worker - Detoxification Worker - Drug and Alcohol Worker,Australia,,,,,Yes,
DIP,Canberra Institute of Technology,Canberra,Diploma of Alcohol and Other Drugs,Science and Health Science,3373,,AUD,Years,1,Years,Yes,Yes,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/education_community/alcohol_other_drugs/DP-HS12,English,A,"This program is designed to prepare the practitioner for agency leadership and policy roles in the areas of counselling, referral, advocacy and education/health promotion services. They will develop high level specialist knowledge, skills and competencies especially in regard to laws affecting clients, the range of services available to them and health issues related to alcohol and drug use and misuse.",Welfare and community services worker in the alcohol and drug field.,Australia,,,,,Yes,
VOC,Canberra Institute of Technology,Canberra,Certificate IV in Alcohol and Other Drugs,Science and Health Science,2559,,AUD,Years,6,Months,Yes,Yes,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/education_community/alcohol_other_drugs/C4-HS12,English,A,"This program is designed for people either wishing to enter or already working in the alcohol and other drug work field. The program provides you with specialist skills, techniques and theories for the field. Many of our graduates have gained jobs in the field of community services.",Students who successfully complete this qualification seek employment in the sector in such occupations as: - Case worker - Community support worker - Outreach Worker - Detoxification Worker - Drug and Alcohol Worker,Australia,,,,,Yes,
VOC,Canberra Institute of Technology,Canberra,Statement of Attainment - Alcohol and Other Drugs Co-existing Needs Skill Set,Humanities and Social Science,2559,,AUD,Years,6,Months,,Yes,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/education_community/alcohol_other_drugs/SA-HS13,English,A,"This skill set reflects the skill requirements for support workers providing services to clients with co-existing needs, including both alcohol and other drugs and mental health issues.",Provides further skills and knowledge in industry specific skill development.,Australia,,,,,Yes,
VOC,Canberra Institute of Technology,Canberra,Statement of Attainment - Alcohol and Other Drugs Skill Set,Humanities and Social Science,2559,,AUD,Years,6,Months,,Yes,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/education_community/alcohol_other_drugs/SA-HS12,English,A,This skill set reflects the skill requirements for support workers providing services to clients with alcohol and other drugs issues.,Provides further skills and knowledge in industry specific skill development.,Australia,,,,,Yes,
VOC,Canberra Institute of Technology,Canberra,Certificate IV in Allied Health Assistance (Occupational therapy),English,2627,,AUD,Years,1,Years,Yes,,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/health_fitness/allied_health/C4-HS21,English,A,This qualification  reflects the role of workers who provide therapeutic and program related  support to allied health professionals. You will gain the skills necessary to  conduct therapeutic and program related activities in occupational therapy  under the supervision of an allied health professional.,Occupational Therapy Assistant,Australia,,,,,Yes,
VOC,Canberra Institute of Technology,Canberra,Certificate IV in Allied Health Assistance (Physiotherapy),English,2627,,AUD,Years,1,Years,Yes,,USI,,Equivalent ,,,Year 12,https://cit.edu.au/courses/health_fitness/allied_health/C4-HS20,English,A,This qualification reflects the role of workers who provide therapeutic and program related support to allied health professionals. You will gain the skills to provide therapeutic and program related support to allied health professionals. You will gain the skills to conduct therapeutic and program related activities in physiotherapy and occupational therapy under supervision of an allied health professional.,Physiotherapy Assistant,Australia,,,,,Yes,
